consumption,unit,spend_amount,currency,emission_intensity,output_value,output_unit,_id,company_id,site_id,user_id,manager_id,frequency,year,month,emission_factor,emission_factor_unit,calculated_emission,name,notes,source,approved,approved_by,created_at,updated_at
143724,Kwh,,Select,,,,6926a249975615828278b53c,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,October,0.0792,TCO2e,11.3829408,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:33.570000,2025-11-26T06:46:33.570000
52972,Kwh,,Select,,,,6926a24a975615828278b53f,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2023,November,0.0792,TCO2e,4.195382400000001,Emidio Tinga,,IEA 2022,true,Padm Nabh Tripathi,2025-11-26T06:46:34.338000,2025-11-26T06:46:34.338000
91455,Kwh,,Select,,,,6926a3a3975615828278b5fe,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,October,0.0792,TCO2e,7.2432360000000005,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:19.565000,2025-11-26T06:52:19.565000
82117,Kwh,,Select,,,,6926a3a3975615828278b601,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,September,0.0792,TCO2e,6.503666400000001,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:19.943000,2025-11-26T06:52:19.943000
49306,Kwh,,Select,,,,6926a3a4975615828278b604,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,August,0.0792,TCO2e,3.9050352,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:20.608000,2025-11-26T06:52:20.608000
30382,Kwh,,Select,,,,6926a3a5975615828278b607,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,July,0.0792,TCO2e,2.4062544000000003,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:21.143000,2025-11-26T06:52:21.143000
34844,Kwh,,Select,,,,6926a3a5975615828278b60a,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,June,0.0792,TCO2e,2.7596448000000002,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:21.894000,2025-11-26T06:52:21.894000
50508,Kwh,,Select,,,,6926a3aa975615828278b60d,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,April,0.0792,TCO2e,4.0002336000000005,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:26.878000,2025-11-26T06:52:26.878000
58744,Kwh,,Select,,,,6926a3ab975615828278b610,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,March,0.0792,TCO2e,4.6525248,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:27.257000,2025-11-26T06:52:27.257000
59156,Kwh,,Select,,,,6926a3ab975615828278b613,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,February,0.0792,TCO2e,4.6851552000000005,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:27.718000,2025-11-26T06:52:27.718000
66599,Kwh,,Select,,,,6926a3b0975615828278b616,6891bb1896163182f4b2783e,6891bc8096163182f4b278fc,6891bd8e96163182f4b2790d,,Monthly,2025,January,0.0792,TCO2e,5.274640800000001,Emidio Tinga,,IEA 2024,true,Padm Nabh Tripathi,2025-11-26T06:52:32.079000,2025-11-26T06:52:32.079000
